RH	(%)			
2009	10	1	0	0.89465
2009	10	1	1	0.914
2009	10	1	2	0.96395
2009	10	1	3	0.97565
2009	10	1	4	0.97225
2009	10	1	5	0.9714
2009	10	1	6	0.96775
2009	10	1	7	0.9563
2009	10	1	8	0.89115
2009	10	1	9	0.76335
2009	10	1	10	0.68375
2009	10	1	11	0.59165
2009	10	1	12	0.61905
2009	10	1	13	0.67245
2009	10	1	14	0.6562
2009	10	1	15	0.6825
2009	10	1	16	0.7304
2009	10	1	17	0.76955
2009	10	1	18	0.8258
2009	10	1	19	0.85975
2009	10	1	20	0.83555
2009	10	1	21	0.7972
2009	10	1	22	0.7833
2009	10	1	23	0.8131
2009	10	2	0	0.7781
2009	10	2	1	0.78925
2009	10	2	2	0.7641
2009	10	2	3	0.78785
2009	10	2	4	0.84565
2009	10	2	5	0.7546
2009	10	2	6	0.7998
2009	10	2	7	0.74595
2009	10	2	8	0.53755
2009	10	2	9	0.4236
2009	10	2	10	0.4613
2009	10	2	11	0.47275
2009	10	2	12	0.44875
2009	10	2	13	0.4376
2009	10	2	14	0.41785
2009	10	2	15	0.42665
2009	10	2	16	0.4556
2009	10	2	17	0.493
2009	10	2	18	0.62185
2009	10	2	19	0.7445
2009	10	2	20	0.78015
2009	10	2	21	0.7449
2009	10	2	22	0.72185
2009	10	2	23	0.59485
2009	10	3	0	0.5148
2009	10	3	1	0.5911
2009	10	3	2	0.6525
2009	10	3	3	0.55775
2009	10	3	4	0.4867
2009	10	3	5	0.61435
2009	10	3	6	0.5251
2009	10	3	7	0.57615
2009	10	3	8	0.56465
2009	10	3	9	0.60405
2009	10	3	10	0.64845
2009	10	3	11	0.6312
2009	10	3	12	0.5694
2009	10	3	13	0.5663
2009	10	3	14	0.4771
2009	10	3	15	0.47185
2009	10	3	16	0.4979
2009	10	3	17	0.50065
2009	10	3	18	0.53
2009	10	3	19	0.5393
2009	10	3	20	0.55365
2009	10	3	21	0.575
2009	10	3	22	0.58125
2009	10	3	23	0.61215
2009	10	4	0	0.6404
2009	10	4	1	0.6913
2009	10	4	2	0.73305
2009	10	4	3	0.7439
2009	10	4	4	0.7568
2009	10	4	5	0.76515
2009	10	4	6	0.81305
2009	10	4	7	0.89565
2009	10	4	8	0.93765
2009	10	4	9	0.9873
2009	10	4	10	0.99915
2009	10	4	11	1
2009	10	4	12	1
2009	10	4	13	1
2009	10	4	14	0.99935
2009	10	4	15	0.9996
2009	10	4	16	1
2009	10	4	17	1
2009	10	4	18	0.99665
2009	10	4	19	0.9937
2009	10	4	20	0.9953
2009	10	4	21	0.9932
2009	10	4	22	0.9921
2009	10	4	23	0.9905
2009	10	5	0	0.9895
2009	10	5	1	0.9831
2009	10	5	2	0.9838
2009	10	5	3	0.98225
2009	10	5	4	0.9797
2009	10	5	5	0.9765
2009	10	5	6	0.9743
2009	10	5	7	0.9682
2009	10	5	8	0.96575
2009	10	5	9	0.96085
2009	10	5	10	0.9479
2009	10	5	11	0.9316
2009	10	5	12	0.88615
2009	10	5	13	0.88205
2009	10	5	14	0.9745
2009	10	5	15	0.9802
2009	10	5	16	0.9793
2009	10	5	17	0.98075
2009	10	5	18	0.9822
2009	10	5	19	0.97405
2009	10	5	20	0.9785
2009	10	5	21	0.97275
2009	10	5	22	0.9728
2009	10	5	23	0.9711
2009	10	6	0	0.9736
2009	10	6	1	0.9658
2009	10	6	2	0.96715
2009	10	6	3	0.97005
2009	10	6	4	0.96545
2009	10	6	5	0.96325
2009	10	6	6	0.9619
2009	10	6	7	0.961
2009	10	6	8	0.9361
2009	10	6	9	0.8822
2009	10	6	10	0.68885
2009	10	6	11	0.62475
2009	10	6	12	0.5997
2009	10	6	13	0.6196
2009	10	6	14	0.59795
2009	10	6	15	0.58855
2009	10	6	16	0.6887
2009	10	6	17	0.81145
2009	10	6	18	0.9218
2009	10	6	19	0.9293
2009	10	6	20	0.83465
2009	10	6	21	0.719
2009	10	6	22	0.8914
2009	10	6	23	0.93425
2009	10	7	0	0.9251
2009	10	7	1	0.8656
2009	10	7	2	0.76715
2009	10	7	3	0.81975
2009	10	7	4	0.80215
2009	10	7	5	0.54155
2009	10	7	6	0.6825
2009	10	7	7	0.46065
2009	10	7	8	0.3237
2009	10	7	9	0.30665
2009	10	7	10	0.31425
2009	10	7	11	0.303
2009	10	7	12	0.3466
2009	10	7	13	0.3378
2009	10	7	14	0.30655
2009	10	7	15	0.31305
2009	10	7	16	0.39595
2009	10	7	17	0.544
2009	10	7	18	0.70415
2009	10	7	19	0.72795
2009	10	7	20	0.75275
2009	10	7	21	0.7793
2009	10	7	22	0.80335
2009	10	7	23	0.82925
2009	10	8	0	0.87465
2009	10	8	1	0.89955
2009	10	8	2	0.88565
2009	10	8	3	0.88395
2009	10	8	4	0.9009
2009	10	8	5	0.91015
2009	10	8	6	0.9083
2009	10	8	7	0.8959
2009	10	8	8	0.88125
2009	10	8	9	0.8752
2009	10	8	10	0.80055
2009	10	8	11	0.77745
2009	10	8	12	0.69435
2009	10	8	13	0.59685
2009	10	8	14	0.6089
2009	10	8	15	0.6106
2009	10	8	16	0.68325
2009	10	8	17	0.7619
2009	10	8	18	0.77315
2009	10	8	19	0.79635
2009	10	8	20	0.7453
2009	10	8	21	0.6322
2009	10	8	22	0.6178
2009	10	8	23	0.6567
2009	10	9	0	0.71135
2009	10	9	1	0.7222
2009	10	9	2	0.7308
2009	10	9	3	0.7328
2009	10	9	4	0.74615
2009	10	9	5	0.75815
2009	10	9	6	0.7908
2009	10	9	7	0.7898
2009	10	9	8	0.77135
2009	10	9	9	0.71395
2009	10	9	10	0.69015
2009	10	9	11	0.6979
2009	10	9	12	0.7075
2009	10	9	13	0.70975
2009	10	9	14	0.7085
2009	10	9	15	0.6673
2009	10	9	16	0.68235
2009	10	9	17	0.7075
2009	10	9	18	0.7604
2009	10	9	19	0.77295
2009	10	9	20	0.76385
2009	10	9	21	0.75935
2009	10	9	22	0.7644
2009	10	9	23	0.79705
2009	10	10	0	0.8155
2009	10	10	1	0.80125
2009	10	10	2	0.79385
2009	10	10	3	0.7963
2009	10	10	4	0.80665
2009	10	10	5	0.8244
2009	10	10	6	0.82875
2009	10	10	7	0.8435
2009	10	10	8	0.7899
2009	10	10	9	0.73925
2009	10	10	10	0.7175
2009	10	10	11	0.6298
2009	10	10	12	0.66465
2009	10	10	13	0.66445
2009	10	10	14	0.68375
2009	10	10	15	0.72935
2009	10	10	16	0.7297
2009	10	10	17	0.7443
2009	10	10	18	0.75665
2009	10	10	19	0.74325
2009	10	10	20	0.77825
2009	10	10	21	0.78415
2009	10	10	22	0.7754
2009	10	10	23	0.85645
2009	10	11	0	0.9354
2009	10	11	1	0.97685
2009	10	11	2	0.98935
2009	10	11	3	0.9919
2009	10	11	4	0.9941
2009	10	11	5	0.9964
2009	10	11	6	0.99815
2009	10	11	7	0.99975
2009	10	11	8	0.9991
2009	10	11	9	1
2009	10	11	10	0.9996
2009	10	11	11	1
2009	10	11	12	1
2009	10	11	13	0.9999
2009	10	11	14	0.999
2009	10	11	15	0.9973
2009	10	11	16	0.9984
2009	10	11	17	0.9995
2009	10	11	18	1
2009	10	11	19	0.9993
2009	10	11	20	0.9978
2009	10	11	21	0.9973
2009	10	11	22	0.9961
2009	10	11	23	0.99355
2009	10	12	0	0.9858
2009	10	12	1	0.9467
2009	10	12	2	0.8919
2009	10	12	3	0.8823
2009	10	12	4	0.9146
2009	10	12	5	0.9528
2009	10	12	6	0.9676
2009	10	12	7	0.9196
2009	10	12	8	0.73035
2009	10	12	9	0.67595
2009	10	12	10	0.508
2009	10	12	11	0.45
2009	10	12	12	0.45865
2009	10	12	13	0.4315
2009	10	12	14	0.4103
2009	10	12	15	0.4391
2009	10	12	16	0.5634
2009	10	12	17	0.66415
2009	10	12	18	0.6388
2009	10	12	19	0.5851
2009	10	12	20	0.6061
2009	10	12	21	0.5447
2009	10	12	22	0.5214
2009	10	12	23	0.5469
2009	10	13	0	0.82645
2009	10	13	1	0.9285
2009	10	13	2	0.9934
2009	10	13	3	0.98815
2009	10	13	4	0.9672
2009	10	13	5	0.9579
2009	10	13	6	0.9567
2009	10	13	7	0.92575
2009	10	13	8	0.8774
2009	10	13	9	0.76755
2009	10	13	10	0.84605
2009	10	13	11	0.7771
2009	10	13	12	0.69825
2009	10	13	13	0.67855
2009	10	13	14	0.6205
2009	10	13	15	0.5921
2009	10	13	16	0.58215
2009	10	13	17	0.6387
2009	10	13	18	0.6591
2009	10	13	19	0.7967
2009	10	13	20	0.9315
2009	10	13	21	0.90025
2009	10	13	22	0.8384
2009	10	13	23	0.9511
2009	10	14	0	0.99755
2009	10	14	1	1
2009	10	14	2	1
2009	10	14	3	1
2009	10	14	4	1
2009	10	14	5	1
2009	10	14	6	1
2009	10	14	7	1
2009	10	14	8	1
2009	10	14	9	1
2009	10	14	10	1
2009	10	14	11	0.93615
2009	10	14	12	0.8712
2009	10	14	13	0.8594
